ID	DOCULECT	CONCEPT	IPA	SEGMENTS	ALIGNMENT	COGID
2178	Kushi	MUD_MORPHEME1	d o r o	d o r o	d o r o	51
2179	Kyoto	MUD_MORPHEME1	d o r o	d o r o	d o r o	51
2180	Matsubara	MUD_MORPHEME1	d u r uː	d u r uː	d u r uː	51
2181	Mugiya	MUD_MORPHEME1	d u r u	d u r u	d u r u	51
2182	Nago	MUD_MORPHEME1	d u r uː	d u r uː	d u r uː	51
2183	Naze	MUD_MORPHEME1	d o r o	d o r o	d o r o	51
2184	Ohama	MUD_MORPHEME1	d uː r u	d uː r u	d uː r u	51
2185	Ongachi	MUD_MORPHEME1	d o r o	d o r o	d o r o	51
2186	Ou	MUD_MORPHEME1	d u r u	d u r u	d u r u	51
2187	Oura	MUD_MORPHEME1	d u r u	d u r u	d u r u	51
2188	Ritchou	MUD_MORPHEME1	d u r u	d u r u	d u r u	51
2189	Sakimotobu	MUD_MORPHEME1	d u r u	d u r u	d u r u	51
2190	San	MUD_MORPHEME1	d u r u	d u r u	d u r u	51
2191	Sani	MUD_MORPHEME1	d o r o	d o r o	d o r o	51
2192	Sena	MUD_MORPHEME1	d i r u	d i r u	d i r u	51
2193	Serikaku	MUD_MORPHEME1	d u r uː	d u r uː	d u r uː	51
2194	Shiomichi	MUD_MORPHEME1	d u r u	d u r u	d u r u	51
2195	Shitooke	MUD_MORPHEME1	d u r u	d u r u	d u r u	51
2196	Shuri	MUD_MORPHEME1	d u r u	d u r u	d u r u	51
2197	Sonai	MUD_MORPHEME1	d u r u	d u r u	d u r u	51
2198	Taketomi	MUD_MORPHEME1	d u r u	d u r u	d u r u	51
2199	Tarama	MUD_MORPHEME1	d u r u	d u r u	d u r u	51
2200	Tatsugo	MUD_MORPHEME1	d o r o	d o r o	d o r o	51
2201	Uechi	MUD_MORPHEME1	d u r u	d u r u	d u r u	51
2202	Wadomari	MUD_MORPHEME1	d u r u	d u r u	d u r u	51
2203	Wan	MUD_MORPHEME1	d u r u	d u r u	d u r u	51
2204	Yadon	MUD_MORPHEME1	d u r u	d u r u	d u r u	51
2205	Yonaguni	MUD_MORPHEME1	d u r u	d u r u	d u r u	51
2206	Yoro	MUD_MORPHEME1	d ɨ r u	d ɨ r u	d ɨ r u	51
2207	Yuwan	MUD_MORPHEME1	d u r uː	d u r uː	d u r uː	51
2208	Chabana	NAIL_MORPHEME1	k u ɡ i	k u ɡ i	k u ɡ i	52
2209	Hateruma	NAIL_MORPHEME1	f u ɴ	f u ɴ	f u ɴ -	52
2210	Hateruma	NAIL_MORPHEME1	ɸ u ɴ	ɸ u ɴ	ɸ u ɴ -	52
2211	Hentona	NAIL_MORPHEME1	kˀ u ʤ i	kˀ u ʤ i	kˀ u ʤ i	52
2212	Hirara	NAIL_MORPHEME1	f u ɡ ɨ	f u ɡ ɨ	f u ɡ ɨ	52
2213	Ie	NAIL_MORPHEME1	k u ʤ i	k u ʤ i	k u ʤ i	52
2214	Iheya	NAIL_MORPHEME1	k u ʤ i	k u ʤ i	k u ʤ i	52
2215	Ikema	NAIL_MORPHEME1	f u ʣ ɨ	f u ʣ ɨ	f u ʣ ɨ	52
2216	Isen	NAIL_MORPHEME1	kˀ u ɡ i	kˀ u ɡ i	kˀ u ɡ i	52
2217	Ishigaki	NAIL_MORPHEME1	ɸ u ɴ	ɸ u ɴ	ɸ u ɴ -	52
2218	Ishikawa	NAIL_MORPHEME1	k u ʤ i	k u ʤ i	k u ʤ i	52
2219	Itoman	NAIL_MORPHEME1	k u ɡ i	k u ɡ i	k u ɡ i	52
2220	Izena	NAIL_MORPHEME1	k u ʤ iː	k u ʤ iː	k u ʤ iː	52
2221	Kagoshima	NAIL_MORPHEME1	k u ʔ	k u ʔ	k u ʔ -	52
2222	Kametsu	NAIL_MORPHEME1	k u ɡ i	k u ɡ i	k u ɡ i	52
2223	Keraji	NAIL_MORPHEME1	kˀ u ɡ i	kˀ u ɡ i	kˀ u ɡ i	52
2224	Koniya	NAIL_MORPHEME1	kˀ u k	kˀ u k	kˀ u k -	52
2225	Koniya	NAIL_MORPHEME1	kˀ uˑ k	kˀ uˑ k	kˀ uˑ k -	52
2226	Kudaka	NAIL_MORPHEME1	kˀ u ʤ i	kˀ u ʤ i	kˀ u ʤ i	52
2227	Kuji-Oohama	NAIL_MORPHEME1	kˀ u k	kˀ u k	kˀ u k -	52
2228	Kuroshima	NAIL_MORPHEME1	f u ɴ	f u ɴ	f u ɴ -	52
2229	Kushi	NAIL_MORPHEME1	kˀ u ɡ i	kˀ u ɡ i	kˀ u ɡ i	52
2230	Kyoto	NAIL_MORPHEME1	k u ŋ i	k u ŋ i	k u ŋ i	52
2231	Matsubara	NAIL_MORPHEME1	kˀ u ɡ i	kˀ u ɡ i	kˀ u ɡ i	52
2232	Mugiya	NAIL_MORPHEME1	k u ɡ i	k u ɡ i	k u ɡ i	52
2233	Nago	NAIL_MORPHEME1	kˀ u ɡ i	kˀ u ɡ i	kˀ u ɡ i	52
2234	Naze	NAIL_MORPHEME1	kˀ u ɡ i	kˀ u ɡ i	kˀ u ɡ i	52
2235	Ohama	NAIL_MORPHEME1	ɸ u ɴ	ɸ u ɴ	ɸ u ɴ -	52
2236	Ongachi	NAIL_MORPHEME1	kˀ u ɡ i	kˀ u ɡ i	kˀ u ɡ i	52
2237	Ou	NAIL_MORPHEME1	k u ʤ i	k u ʤ i	k u ʤ i	52
2238	Oura	NAIL_MORPHEME1	f u ɡ ɨ	f u ɡ ɨ	f u ɡ ɨ	52
2239	Ritchou	NAIL_MORPHEME1	k u ɡ i	k u ɡ i	k u ɡ i	52
2240	Sakimotobu	NAIL_MORPHEME1	kˀ u ɡ i	kˀ u ɡ i	kˀ u ɡ i	52
2241	San	NAIL_MORPHEME1	k u ɡ i	k u ɡ i	k u ɡ i	52
2242	Sani	NAIL_MORPHEME1	kˀ u ɡ i	kˀ u ɡ i	kˀ u ɡ i	52
2243	Sena	NAIL_MORPHEME1	k u ʤ i	k u ʤ i	k u ʤ i	52
2244	Serikaku	NAIL_MORPHEME1	k u ɡ iː	k u ɡ iː	k u ɡ iː	52
2245	Shiomichi	NAIL_MORPHEME1	kˀ u n i	kˀ u n i	kˀ u n i	52
2246	Shitooke	NAIL_MORPHEME1	kˀ u n ɪ	kˀ u n ɪ	kˀ u n ɪ	52
2247	Shuri	NAIL_MORPHEME1	k u ʤ i	k u ʤ i	k u ʤ i	52
2248	Sonai	NAIL_MORPHEME1	ɸ u i	ɸ u i	ɸ u - i	52
2249	Taketomi	NAIL_MORPHEME1	ɸ u ɴ	ɸ u ɴ	ɸ u ɴ -	52
2250	Tarama	NAIL_MORPHEME1	f u ɡ ɨ	f u ɡ ɨ	f u ɡ ɨ	52
2251	Tatsugo	NAIL_MORPHEME1	kˀ u ɡ i	kˀ u ɡ i	kˀ u ɡ i	52
2252	Uechi	NAIL_MORPHEME1	f u ɡ ɨ	f u ɡ ɨ	f u ɡ ɨ	52
2253	Uegusuku	NAIL_MORPHEME1	k u ɡ i	k u ɡ i	k u ɡ i	52
2254	Wadomari	NAIL_MORPHEME1	k u ʤ i	k u ʤ i	k u ʤ i	52
2255	Wan	NAIL_MORPHEME1	kˀ u n i	kˀ u n i	kˀ u n i	52
2256	Yadon	NAIL_MORPHEME1	kˀ u k	kˀ u k	kˀ u k -	52
2257	Yonaguni	NAIL_MORPHEME1	k u ɡ i	k u ɡ i	k u ɡ i	52
2258	Yoro	NAIL_MORPHEME1	kˀ u k	kˀ u k	kˀ u k -	52
2259	Yuwan	NAIL_MORPHEME1	kˀ u ɡ i	kˀ u ɡ i	kˀ u ɡ i	52
2260	Chabana	NAME_MORPHEME1	n aː	n aː	n aː -	53
2261	Hateruma	NAME_MORPHEME1	n a ɴ	n a ɴ	n a ɴ	53
2262	Hentona	NAME_MORPHEME1	n aː	n aː	n aː -	53
2263	Hirara	NAME_MORPHEME1	n aː	n aː	n aː -	53
2264	Ie	NAME_MORPHEME1	n aː	n aː	n aː -	53
2265	Iheya	NAME_MORPHEME1	n aː	n aː	n aː -	53
2266	Ikema	NAME_MORPHEME1	n aː	n aː	n aː -	53
2267	Isen	NAME_MORPHEME1	n aː	n aː	n aː -	53
2268	Ishigaki	NAME_MORPHEME1	n aː	n aː	n aː -	53
2269	Ishikawa	NAME_MORPHEME1	n aː	n aː	n aː -	53
2270	Itoman	NAME_MORPHEME1	n aː	n aː	n aː -	53
2271	Izena	NAME_MORPHEME1	n aː	n aː	n aː -	53
2272	Kagoshima	NAME_MORPHEME1	n a	n a	n a -	53
2273	Kagoshima	NAME_MORPHEME1	n aː	n aː	n aː -	53
2274	Kametsu	NAME_MORPHEME1	n aː	n aː	n aː -	53
2275	Keraji	NAME_MORPHEME1	n aː	n aː	n aː -	53
2276	Koniya	NAME_MORPHEME1	n aː	n aː	n aː -	53
2277	Kudaka	NAME_MORPHEME1	n aː	n aː	n aː -	53
2278	Kuji-Oohama	NAME_MORPHEME1	n aː	n aː	n aː -	53
2279	Kuroshima	NAME_MORPHEME1	n aː	n aː	n aː -	53
2280	Kushi	NAME_MORPHEME1	n aː	n aː	n aː -	53
2281	Kyoto	NAME_MORPHEME1	n a	n a	n a -	53
2282	Matsubara	NAME_MORPHEME1	n aː	n aː	n aː -	53
2283	Mugiya	NAME_MORPHEME1	n aː	n aː	n aː -	53
2284	Nago	NAME_MORPHEME1	n aː	n aː	n aː -	53
2285	Naze	NAME_MORPHEME1	n a	n a	n a -	53
2286	Ohama	NAME_MORPHEME1	n aː	n aː	n aː -	53
2287	Ongachi	NAME_MORPHEME1	n aː	n aː	n aː -	53
2288	Ou	NAME_MORPHEME1	n aː	n aː	n aː -	53
2289	Oura	NAME_MORPHEME1	n aː	n aː	n aː -	53
2290	Ritchou	NAME_MORPHEME1	n aː	n aː	n aː -	53
2291	Sakimotobu	NAME_MORPHEME1	n aː	n aː	n aː -	53
2292	San	NAME_MORPHEME1	n aː	n aː	n aː -	53
2293	Sani	NAME_MORPHEME1	n a	n a	n a -	53
2294	Sena	NAME_MORPHEME1	n aː	n aː	n aː -	53
2295	Serikaku	NAME_MORPHEME1	n aː	n aː	n aː -	53
2296	Shiomichi	NAME_MORPHEME1	n aː	n aː	n aː -	53
2297	Shitooke	NAME_MORPHEME1	n aː	n aː	n aː -	53
2298	Shuri	NAME_MORPHEME1	n aː	n aː	n aː -	53
2299	Sonai	NAME_MORPHEME1	n aː	n aː	n aː -	53
2300	Taketomi	NAME_MORPHEME1	n aː	n aː	n aː -	53
2301	Tarama	NAME_MORPHEME1	n aː	n aː	n aː -	53
2302	Tatsugo	NAME_MORPHEME1	n aː	n aː	n aː -	53
2303	Uechi	NAME_MORPHEME1	n aː	n aː	n aː -	53
2304	Uegusuku	NAME_MORPHEME1	n aː	n aː	n aː -	53
2305	Wadomari	NAME_MORPHEME1	n aː	n aː	n aː -	53
2306	Wan	NAME_MORPHEME1	n aː	n aː	n aː -	53
2307	Yadon	NAME_MORPHEME1	n aː	n aː	n aː -	53
2308	Yonaguni	NAME_MORPHEME1	n aː	n aː	n aː -	53
2309	Yoro	NAME_MORPHEME1	n aː	n aː	n aː -	53
2310	Yuwan	NAME_MORPHEME1	n aː	n aː	n aː -	53
2311	Chabana	NECK_MORPHEME1	k u b i	k u b i	k u b i	54
2312	Hentona	NECK_MORPHEME1	kˀ u b i	kˀ u b i	kˀ u b i	54
2313	Ie	NECK_MORPHEME1	k u d i	k u d i	k u d i	54
2314	Iheya	NECK_MORPHEME1	kˀ u i	kˀ u i	kˀ u - i	54
2315	Isen	NECK_MORPHEME1	kˀ u b i	kˀ u b i	kˀ u b i	54
2316	Ishigaki	NECK_MORPHEME1	k u b i	k u b i	k u b i	54
2317	Ishikawa	NECK_MORPHEME1	k u b i	k u b i	k u b i	54
2318	Itoman	NECK_MORPHEME1	k u b i	k u b i	k u b i	54
2319	Izena	NECK_MORPHEME1	k u i	k u i	k u - i	54
2320	Kagoshima	NECK_MORPHEME1	k u ʔ	k u ʔ	k u ʔ -	54
2321	Kametsu	NECK_MORPHEME1	k u b i	k u b i	k u b i	54
2322	Keraji	NECK_MORPHEME1	kˀ u b i	kˀ u b i	kˀ u b i	54
2323	Koniya	NECK_MORPHEME1	kˀ u p	kˀ u p	kˀ u p -	54
2324	Koniya	NECK_MORPHEME1	kˀ uˑ p	kˀ uˑ p	kˀ uˑ p -	54
2325	Kudaka	NECK_MORPHEME1	kˀ u b i	kˀ u b i	kˀ u b i	54
2326	Kuji-Oohama	NECK_MORPHEME1	kˀ u p	kˀ u p	kˀ u p -	54
2327	Kuroshima	NECK_MORPHEME1	f u b i	f u b i	f u b i	54
2328	Kushi	NECK_MORPHEME1	kˀ u b i	kˀ u b i	kˀ u b i	54
2329	Kyoto	NECK_MORPHEME1	k u b i	k u b i	k u b i	54
2330	Matsubara	NECK_MORPHEME1	kˀ u i	kˀ u i	kˀ u - i	54
2331	Mugiya	NECK_MORPHEME1	k u b i	k u b i	k u b i	54
2332	Nago	NECK_MORPHEME1	kˀ u i	kˀ u i	kˀ u - i	54
2333	Naze	NECK_MORPHEME1	kˀ u b i	kˀ u b i	kˀ u b i	54
2334	Ongachi	NECK_MORPHEME1	kˀ u b i	kˀ u b i	kˀ u b i	54
2335	Ou	NECK_MORPHEME1	k u b i	k u b i	k u b i	54
2336	Oura	NECK_MORPHEME1	f u ɡ ɨ	f u ɡ ɨ	f u ɡ ɨ	54
2337	Ritchou	NECK_MORPHEME1	k u b i	k u b i	k u b i	54
2338	Sakimotobu	NECK_MORPHEME1	kˀ u b i	kˀ u b i	kˀ u b i	54
2339	San	NECK_MORPHEME1	k u i	k u i	k u - i	54
2340	Sani	NECK_MORPHEME1	kˀ u b i	kˀ u b i	kˀ u b i	54
2341	Sena	NECK_MORPHEME1	k u b i	k u b i	k u b i	54
2342	Serikaku	NECK_MORPHEME1	k u b iː	k u b iː	k u b iː	54
2343	Shiomichi	NECK_MORPHEME1	kˀ u b i	kˀ u b i	kˀ u b i	54
2344	Shitooke	NECK_MORPHEME1	kˀ u b i	kˀ u b i	kˀ u b i	54
2345	Shuri	NECK_MORPHEME1	k u b i	k u b i	k u b i	54
2346	Taketomi	NECK_MORPHEME1	ɸ u b i	ɸ u b i	ɸ u b i	54
2347	Tatsugo	NECK_MORPHEME1	kˀ u b i	kˀ u b i	kˀ u b i	54
2348	Uegusuku	NECK_MORPHEME1	k u b i	k u b i	k u b i	54
2349	Wadomari	NECK_MORPHEME1	k u b i	k u b i	k u b i	54
2350	Wan	NECK_MORPHEME1	kˀ u b i	kˀ u b i	kˀ u b i	54
2351	Yadon	NECK_MORPHEME1	kˀ u p	kˀ u p	kˀ u p -	54
2352	Yoro	NECK_MORPHEME1	kˀ u p	kˀ u p	kˀ u p -	54
2353	Yuwan	NECK_MORPHEME1	kˀ u b i	kˀ u b i	kˀ u b i	54
2354	Hateruma	NECK_MORPHEME1	n u b u s ɨ ɴ	n u b u s ɨ ɴ	n u b u s ɨ ɴ	55
2355	Hirara	NECK_MORPHEME1	n u b u i	n u b u i	n u b u - i -	55
2356	Ikema	NECK_MORPHEME1	n u b u i	n u b u i	n u b u - i -	55
2357	Ikema	NECK_MORPHEME1	n u d u i	n u d u i	n u d u - i -	55
2358	Ishigaki	NECK_MORPHEME1	n u b i	n u b i	n u b - - i -	55
2359	Ohama	NECK_MORPHEME1	n u b i	n u b i	n u b - - i -	55
2360	Sonai	NECK_MORPHEME1	n u b i	n u b i	n u b - - i -	55
2361	Tarama	NECK_MORPHEME1	n i b u i	n i b u i	n i b u - i -	55
2362	Uechi	NECK_MORPHEME1	n u b u i	n u b u i	n u b u - i -	55
2363	Yonaguni	NECK_MORPHEME1	n u b i	n u b i	n u b - - i -	55
2364	Chabana	NET_MORPHEME1	ʔ a ɴ	ʔ a ɴ	ʔ a ɴ -	56
2365	Hateruma	NET_MORPHEME1	ʔ a ɴ	ʔ a ɴ	ʔ a ɴ -	56
2366	Hentona	NET_MORPHEME1	ʔ a m i	ʔ a m i	ʔ a m i	56
2367	Hirara	NET_MORPHEME1	ʔ a m	ʔ a m	ʔ a m -	56
2368	Ie	NET_MORPHEME1	ʔ a n iː	ʔ a n iː	ʔ a n iː	56
2369	Iheya	NET_MORPHEME1	ʔ a m iː	ʔ a m iː	ʔ a m iː	56
2370	Ikema	NET_MORPHEME1	ʔ a ɴ	ʔ a ɴ	ʔ a ɴ -	56
2371	Isen	NET_MORPHEME1	ʔ a m i	ʔ a m i	ʔ a m i	56
2372	Ishigaki	NET_MORPHEME1	ʔ a ɴ	ʔ a ɴ	ʔ a ɴ -	56
2373	Ishikawa	NET_MORPHEME1	ʔ a m i	ʔ a m i	ʔ a m i	56
2374	Itoman	NET_MORPHEME1	ʔ a m i	ʔ a m i	ʔ a m i	56
2375	Izena	NET_MORPHEME1	ʔ a m iː	ʔ a m iː	ʔ a m iː	56
2376	Kagoshima	NET_MORPHEME1	a ɴ	a ɴ	- a ɴ -	56
2377	Kametsu	NET_MORPHEME1	ʔ a m i	ʔ a m i	ʔ a m i	56
2378	Keraji	NET_MORPHEME1	ʔ a m i	ʔ a m i	ʔ a m i	56
2379	Koniya	NET_MORPHEME1	ʔ a m i	ʔ a m i	ʔ a m i	56
2380	Kudaka	NET_MORPHEME1	ʔ a m i	ʔ a m i	ʔ a m i	56
2381	Kuji-Oohama	NET_MORPHEME1	ʔ a m i	ʔ a m i	ʔ a m i	56
2382	Kuroshima	NET_MORPHEME1	ʔ a ɴ	ʔ a ɴ	ʔ a ɴ -	56
2383	Kushi	NET_MORPHEME1	ʔ a ɴ	ʔ a ɴ	ʔ a ɴ -	56
2384	Kyoto	NET_MORPHEME1	a m i	a m i	- a m i	56
2385	Matsubara	NET_MORPHEME1	ʔ a m iː	ʔ a m iː	ʔ a m iː	56
2386	Mugiya	NET_MORPHEME1	ʔ a ɴ	ʔ a ɴ	ʔ a ɴ -	56
2387	Nago	NET_MORPHEME1	ʔ a m iː	ʔ a m iː	ʔ a m iː	56
2388	Naze	NET_MORPHEME1	ʔ a m i	ʔ a m i	ʔ a m i	56
2389	Ohama	NET_MORPHEME1	ʔ a ɴ	ʔ a ɴ	ʔ a ɴ -	56
2390	Ongachi	NET_MORPHEME1	ʔ a m i	ʔ a m i	ʔ a m i	56
2391	Ou	NET_MORPHEME1	ʔ a m i	ʔ a m i	ʔ a m i	56
2392	Oura	NET_MORPHEME1	ʔ a ɴ	ʔ a ɴ	ʔ a ɴ -	56
2393	Ritchou	NET_MORPHEME1	ʔ a ɴ	ʔ a ɴ	ʔ a ɴ -	56
2394	Sakimotobu	NET_MORPHEME1	ʔ a m iː	ʔ a m iː	ʔ a m iː	56
2395	San	NET_MORPHEME1	ʔ a m i	ʔ a m i	ʔ a m i	56
2396	Sani	NET_MORPHEME1	ʔ a ɴ	ʔ a ɴ	ʔ a ɴ -	56
2397	Sena	NET_MORPHEME1	ʔ aː m iː	ʔ aː m iː	ʔ aː m iː	56
2398	Serikaku	NET_MORPHEME1	ʔ aː n iː	ʔ aː n iː	ʔ aː n iː	56
2399	Shiomichi	NET_MORPHEME1	ʔ a m i	ʔ a m i	ʔ a m i	56
2400	Shitooke	NET_MORPHEME1	ʔ a m i	ʔ a m i	ʔ a m i	56
2401	Shuri	NET_MORPHEME1	ʔ a m i	ʔ a m i	ʔ a m i	56
2402	Sonai	NET_MORPHEME1	ʔ a ɴ	ʔ a ɴ	ʔ a ɴ -	56
2403	Taketomi	NET_MORPHEME1	ʔ a ɴ	ʔ a ɴ	ʔ a ɴ -	56
2404	Tarama	NET_MORPHEME1	ʔ a m	ʔ a m	ʔ a m -	56
2405	Tatsugo	NET_MORPHEME1	ʔ a m i	ʔ a m i	ʔ a m i	56
2406	Uechi	NET_MORPHEME1	ʔ a m	ʔ a m	ʔ a m -	56
2407	Uegusuku	NET_MORPHEME1	ʔ aː n iː	ʔ aː n iː	ʔ aː n iː	56
2408	Wadomari	NET_MORPHEME1	ʔ a m i	ʔ a m i	ʔ a m i	56
2409	Wan	NET_MORPHEME1	ʔ a m i	ʔ a m i	ʔ a m i	56
2410	Yadon	NET_MORPHEME1	ʔ a m	ʔ a m	ʔ a m -	56
2411	Yonaguni	NET_MORPHEME1	ʔ a ɴ	ʔ a ɴ	ʔ a ɴ -	56
2412	Yoro	NET_MORPHEME1	ʔ a m i	ʔ a m i	ʔ a m i	56
2413	Yuwan	NET_MORPHEME1	ʔ a m i	ʔ a m i	ʔ a m i	56
2414	Chabana	NINE_MORPHEME1	k uː n u ʧ i	k uː n u ʧ i	k uː - - n u ʧ i	57
2415	Hateruma	NINE_MORPHEME1	h a k o n a ʦ ɨ	h a k o n a ʦ ɨ	h a k o n a ʦ ɨ	57
2416	Hentona	NINE_MORPHEME1	k uː n u ʧ i	k uː n u ʧ i	k uː - - n u ʧ i	57
2417	Hirara	NINE_MORPHEME1	k u k u n u ʦ ɨ	k u k u n u ʦ ɨ	k u k u n u ʦ ɨ	57
2418	Ie	NINE_MORPHEME1	ɸ uː n u ʦ i	ɸ uː n u ʦ i	- - ɸ uː n u ʦ i	57
2419	Ikema	NINE_MORPHEME1	k k u n u ʦ ɨ	k k u n u ʦ ɨ	k - k u n u ʦ ɨ	57
2420	Ishigaki	NINE_MORPHEME1	k u k u n u ʦ ɨ	k u k u n u ʦ ɨ	k u k u n u ʦ ɨ	57
2421	Kagoshima	NINE_MORPHEME1	k o k o n o ʔ	k o k o n o ʔ	k o k o n o ʔ -	57
2422	Kametsu	NINE_MORPHEME1	k u n u ʦ ɨ	k u n u ʦ ɨ	k u - - n u ʦ ɨ	57
2423	Keraji	NINE_MORPHEME1	k uː n u t u	k uː n u t u	k uː - - n u t u	57
2424	Koniya	NINE_MORPHEME1	k u h o n o t	k u h o n o t	k u h o n o t -	57
2425	Kuroshima	NINE_MORPHEME1	k u k u n u ʧ i	k u k u n u ʧ i	k u k u n u ʧ i	57
2426	Kyoto	NINE_MORPHEME1	k o k o n o ʦ u	k o k o n o ʦ u	k o k o n o ʦ u	57
2427	Mugiya	NINE_MORPHEME1	k uː n u ʧ i	k uː n u ʧ i	k uː - - n u ʧ i	57
2428	Naze	NINE_MORPHEME1	k o n oː ʧ i	k o n oː ʧ i	k o - - n oː ʧ i	57
2429	Naze	NINE_MORPHEME1	k u n uː ʧ i	k u n uː ʧ i	k u - - n uː ʧ i	57
2430	Ohama	NINE_MORPHEME1	k u k u n u ʦ ɨ	k u k u n u ʦ ɨ	k u k u n u ʦ ɨ	57
2431	Ou	NINE_MORPHEME1	k u k u n u ʧ i	k u k u n u ʧ i	k u k u n u ʧ i	57
2432	Oura	NINE_MORPHEME1	k u k u n u ʦ ɨ	k u k u n u ʦ ɨ	k u k u n u ʦ ɨ	57
2433	Ritchou	NINE_MORPHEME1	k uː n u ʧ i	k uː n u ʧ i	k uː - - n u ʧ i	57
2434	Sena	NINE_MORPHEME1	k u n u ʧ iː	k u n u ʧ iː	k u - - n u ʧ iː	57
2435	Serikaku	NINE_MORPHEME1	k u n u ʧ iː	k u n u ʧ iː	k u - - n u ʧ iː	57
2436	Shiomichi	NINE_MORPHEME1	k uː n u t u	k uː n u t u	k uː - - n u t u	57
2437	Shitooke	NINE_MORPHEME1	k uː n u ʦ u	k uː n u ʦ u	k uː - - n u ʦ u	57
2438	Shuri	NINE_MORPHEME1	k u k u n u ʧ i	k u k u n u ʧ i	k u k u n u ʧ i	57
2439	Sonai	NINE_MORPHEME1	k u k u n u ʧ i	k u k u n u ʧ i	k u k u n u ʧ i	57
2440	Taketomi	NINE_MORPHEME1	k u n u ʦ ɨ	k u n u ʦ ɨ	k u - - n u ʦ ɨ	57
2441	Tarama	NINE_MORPHEME1	k u k u n u ʦ ɨ	k u k u n u ʦ ɨ	k u k u n u ʦ ɨ	57
2442	Uechi	NINE_MORPHEME1	k u k u n u ʦ ɨ	k u k u n u ʦ ɨ	k u k u n u ʦ ɨ	57
2443	Uegusuku	NINE_MORPHEME1	k u n u ʧ iː	k u n u ʧ iː	k u - - n u ʧ iː	57
2444	Wadomari	NINE_MORPHEME1	k uː n u ʧ i	k uː n u ʧ i	k uː - - n u ʧ i	57
2445	Wan	NINE_MORPHEME1	k uː n u t u	k uː n u t u	k uː - - n u t u	57
2446	Yonaguni	NINE_MORPHEME1	k u ɡ u n u ʧ i	k u ɡ u n u ʧ i	k u ɡ u n u ʧ i	57
2447	Chabana	NOSE_MORPHEME1	p a n a	p a n a	p a n a	58
2448	Hateruma	NOSE_MORPHEME1	p a n a	p a n a	p a n a	58
2449	Hentona	NOSE_MORPHEME1	ɸ a n a	ɸ a n a	ɸ a n a	58
2450	Hirara	NOSE_MORPHEME1	p a n a	p a n a	p a n a	58
2451	Ie	NOSE_MORPHEME1	p a n a	p a n a	p a n a	58
2452	Iheya	NOSE_MORPHEME1	h a n a	h a n a	h a n a	58
2453	Ikema	NOSE_MORPHEME1	h a n a	h a n a	h a n a	58
2454	Isen	NOSE_MORPHEME1	h a n a	h a n a	h a n a	58
2455	Ishigaki	NOSE_MORPHEME1	p a n a	p a n a	p a n a	58
2456	Ishikawa	NOSE_MORPHEME1	ɸ a n a	ɸ a n a	ɸ a n a	58
2457	Itoman	NOSE_MORPHEME1	h a n a	h a n a	h a n a	58
2458	Izena	NOSE_MORPHEME1	ɸ a n aː	ɸ a n aː	ɸ a n aː	58
2459	Kagoshima	NOSE_MORPHEME1	h a n a	h a n a	h a n a	58
2460	Kametsu	NOSE_MORPHEME1	h a n a	h a n a	h a n a	58
2461	Keraji	NOSE_MORPHEME1	ɸ a n a	ɸ a n a	ɸ a n a	58
2462	Koniya	NOSE_MORPHEME1	h a n a	h a n a	h a n a	58
2463	Koniya	NOSE_MORPHEME1	ɸ a n a	ɸ a n a	ɸ a n a	58
2464	Kudaka	NOSE_MORPHEME1	p a n a	p a n a	p a n a	58
2465	Kuji-Oohama	NOSE_MORPHEME1	h a n a	h a n a	h a n a	58
2466	Kuroshima	NOSE_MORPHEME1	p a n a	p a n a	p a n a	58
2467	Kushi	NOSE_MORPHEME1	h a n a	h a n a	h a n a	58
2468	Kyoto	NOSE_MORPHEME1	h a n a	h a n a	h a n a	58
2469	Matsubara	NOSE_MORPHEME1	h a n a	h a n a	h a n a	58
2470	Mugiya	NOSE_MORPHEME1	p a n a	p a n a	p a n a	58
2471	Nago	NOSE_MORPHEME1	p a n aː	p a n aː	p a n aː	58
2472	Naze	NOSE_MORPHEME1	h a n a	h a n a	h a n a	58
2473	Ohama	NOSE_MORPHEME1	p a n a	p a n a	p a n a	58
2474	Ongachi	NOSE_MORPHEME1	h a n a	h a n a	h a n a	58
2475	Ou	NOSE_MORPHEME1	h a n a	h a n a	h a n a	58
2476	Oura	NOSE_MORPHEME1	p a n a	p a n a	p a n a	58
2477	Ritchou	NOSE_MORPHEME1	p a n a	p a n a	p a n a	58
2478	Sakimotobu	NOSE_MORPHEME1	ɸ a n a	ɸ a n a	ɸ a n a	58
2479	San	NOSE_MORPHEME1	h a n a	h a n a	h a n a	58
2480	Sani	NOSE_MORPHEME1	p a n a	p a n a	p a n a	58
2481	Sena	NOSE_MORPHEME1	h a n aː	h a n aː	h a n aː	58
2482	Serikaku	NOSE_MORPHEME1	h a n aː	h a n aː	h a n aː	58
2483	Shiomichi	NOSE_MORPHEME1	p a n a	p a n a	p a n a	58
2484	Shitooke	NOSE_MORPHEME1	h a n a	h a n a	h a n a	58
2485	Shuri	NOSE_MORPHEME1	h a n a	h a n a	h a n a	58
2486	Sonai	NOSE_MORPHEME1	p a n a	p a n a	p a n a	58
2487	Taketomi	NOSE_MORPHEME1	h a n a	h a n a	h a n a	58
2488	Tarama	NOSE_MORPHEME1	p a n a	p a n a	p a n a	58
